Text,Label,Predicted Label
@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,neutral,
The humpalow um ya I think so... Cell is dying,worry,
Last day at work...Sick to the bone,worry,
i feel like I'm on house arrest.,worry,sadness
"love is like a war,,easy to begin, hard to end..fiuuhh...",neutral,
@heavenjones ur supposed to be in BK tho,surprise,
@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,worry,
Oh no!  Nighty night.,surprise,
@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,happiness,
my stupid tooooth hurts,sadness,
@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,love,
Ready To Go @ School,neutral,
@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,sadness,
@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,neutral,
It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,worry,
@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,worry,
my dog ran awayyy,worry,
@all_is_one84 Those suck so bad.,hate,
"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",worry,
"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",relief,
does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,worry,surprise
I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!,love,sadness
@exortabreedoll what happen to the maids of yours? Quit once again? ...,empty,
I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,sadness,
At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,hate,
@Penguin_J heehee. i love you! i am tired.,sadness,
my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,worry,
@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,worry,
"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",worry,
"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",sadness,
went to the beach and it started raining,empty,
"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",sadness,
"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward...",relief,
@nayRyelgiuQ airport? and you didnt show up tonight homo!,neutral,surprise
@charloro jealous  it looks like schindler's list in toronto,worry,
I want another tatt,enthusiasm,
@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:,neutral,
"So, I need to make a lot of money tomorrow",enthusiasm,
@joiskol  being in your room makes me sad.,sadness,sadness
"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",worry,
for the gays i only made 200 tonight,neutral,
@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,sadness,
"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",sadness,
@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.,surprise,neutral
"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing",neutral,
@meljachin: eww. dislike,sadness,sadness
Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.,worry,
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,neutral,
"@SuzyDunkley sorry bout the cat,",sadness,
needs to have an increase on her salary  http://plurk.com/p/wxluu,neutral,
my stomach feels like it's touching the ground..i'm SO full,worry,surprise
Pug just woke me from an incredible sleep!,love,surprise
@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,love,happiness
Sooo much work so little time,worry,
missed iron chef,sadness,
@thevowel the DS version sucks,sadness,sadness
what a bad day,sadness,
@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun,enthusiasm,
hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,hate,
"Ugh, my internet was down!",worry,
omg i didnt tweet all that much today.... *sadness*,surprise,
is feeling so giddy and wanna go home.,worry,
the week just wasnt the same without an adam lambert performance!!!,neutral,surprise
@rockingjude The link doesn't work,neutral,sadness
Up and packing. Its the last day of youth camp,worry,
"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..",neutral,
Smh @ hiphop nursery rhymes,neutral,
Somebody please save the polar bears!,worry,anger
@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol,happiness,
@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work,surprise,
It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.,worry,
guess im staying home tonight...no movie-ing for me,worry,
went to the cd store to search for the cd. But,sadness,
@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs,worry,fear
I miss my mom..  &quot;May angels lead you in&quot;,sadness,
there's really no android twitter app of Tweetie's calibre,love,
on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;,hate,sadness
"@taylor_d No, it's not...",neutral,
@chocolovere i feel the same way every day,sadness,
Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,sadness,
@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,neutral,
Sleppytime. Really missing my godfather right now. Love you Wayne,sadness,
So have a headache right now and it sucks,sadness,sadness
@JayDz hope ya sleepin well  guys still here,worry,
"i should be finished.... but i'm not.  color drawing, here i come.",fun,
"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",sadness,
"comfort food of the day: pan mee. though, it didnt taste any good..",sadness,
damn being drunk and hot sucks,worry,
misses my baby.,sadness,
is not sleeping because he has paperwork to do.,worry,
Showered in ice-cold water. Sweating now. Means one thing: I'm sick,worry,disgust
"midnight cry.. wish the person I wanted, wanted me right now",worry,
@mousebudden I'ma need you to follow me real quick cause I can't DM you,neutral,
I'm poorly and can't sleep,sadness,
Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,worry,
"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz",worry,sadness
@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again,worry,
"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",worry,sadness
@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,worry,
didnt say goodnight to you,worry,
@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw],hate,
has work tom.,sadness,
In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.,neutral,neutral
Can't sleep and nothings on tv!!,neutral,sadness
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",love,
@KallieT oh ... you've been superseeded?  not good enough,neutral,surprise
today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,sadness,sadness
fuckin'm transtelecom,anger,anger
"is really, really bored... I guess I will go to bed",boredom,
@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store,worry,
@ModelTheany  tee we beefin....what was u supposed to do before leavin????,surprise,
Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,sadness,
